secid,date,exdate,strike_price,cp_flag,impl_volatility,best_bid,best_offer,volume,delta
101218.0,2022-05-23,2022-07-15,31.0,C,0.400923,0.95,1.3,10.0,0.388766
101218.0,2022-05-24,2022-07-15,30.0,C,0.44507,0.7,1.4,10.0,0.359336
101218.0,2022-05-24,2022-07-15,27.0,P,0.391485,1.0,1.5,27.0,-0.386214
101218.0,2022-05-24,2022-07-15,30.0,P,0.286091,2.0,3.3,25.0,-0.728352
101218.0,2022-05-25,2022-07-15,31.0,C,0.406613,0.8,1.1,10.0,0.349442
101218.0,2022-05-27,2022-07-15,27.0,C,0.452381,3.9,4.5,10.0,0.798062
101218.0,2022-05-27,2022-07-15,30.0,P,0.4989,0.45,3.4,12.0,-0.422511
101218.0,2022-06-02,2022-07-15,31.0,C,0.387063,0.9,1.2,14.0,0.401147
101218.0,2022-06-02,2022-07-15,27.0,P,0.43128,0.5,0.8,10.0,-0.234193
101218.0,2022-06-10,2022-07-15,28.0,C,0.462389,0.75,1.85,55.0,0.468016
101218.0,2022-06-22,2022-08-19,30.0,C,0.4146,0.95,1.25,13.0,0.374583
101218.0,2022-06-23,2022-08-19,32.0,C,0.405306,0.8,1.2,45.0,0.344107
101218.0,2022-06-24,2022-08-19,31.0,C,0.430567,1.25,1.7,17.0,0.436568
101218.0,2022-06-27,2022-08-19,31.0,C,0.424067,1.25,1.6,12.0,0.437344
101218.0,2022-06-28,2022-08-19,29.0,C,0.453208,2.6,2.95,10.0,0.637513
101218.0,2022-06-28,2022-08-19,30.0,C,0.443876,2.0,2.4,18.0,0.561033
101218.0,2022-06-28,2022-08-19,32.0,C,0.407023,1.1,1.3,21.0,0.394973
101218.0,2022-06-29,2022-08-19,31.0,C,0.431165,1.4,1.85,50.0,0.472972
101218.0,2022-06-30,2022-08-19,34.0,C,0.429256,0.45,0.7,10.0,0.226412
101218.0,2022-06-30,2022-08-19,38.0,C,0.41512,0.0,0.25,30.0,0.06611
101218.0,2022-07-05,2022-08-19,28.0,P,0.467009,0.55,0.8,15.0,-0.212778
101218.0,2022-07-05,2022-08-19,30.0,C,0.446187,2.65,2.85,85.0,0.650778
101218.0,2022-07-05,2022-08-19,31.0,C,0.445925,2.1,2.3,81.0,0.570745
101218.0,2022-07-05,2022-08-19,32.0,C,0.438483,1.45,1.95,11.0,0.489041
101218.0,2022-07-05,2022-08-19,34.0,C,0.420819,0.8,1.05,14.0,0.328138
101218.0,2022-07-07,2022-08-19,40.0,C,0.435396,0.0,0.25,50.0,0.064494
101218.0,2022-07-08,2022-08-19,32.0,C,0.434345,1.6,2.05,18.0,0.521049
101218.0,2022-07-11,2022-08-19,29.0,C,0.485629,2.85,3.2,10.0,0.687815
101218.0,2022-07-11,2022-08-19,30.0,C,0.463037,2.2,2.5,16.0,0.611081
101218.0,2022-07-11,2022-08-19,34.0,C,0.448984,0.65,0.85,10.0,0.285656
101218.0,2022-07-12,2022-08-19,30.0,C,0.481876,1.85,2.6,14.0,0.585268
101218.0,2022-07-12,2022-08-19,32.0,C,0.373067,0.3,1.55,22.0,0.382876
101218.0,2022-07-13,2022-08-19,30.0,C,0.464658,1.95,2.25,59.0,0.582419
101218.0,2022-07-13,2022-08-19,32.0,C,0.457301,1.0,1.4,27.0,0.407511
101218.0,2022-07-14,2022-08-19,32.0,P,0.402621,2.8,4.2,10.0,-0.74587
101218.0,2022-07-15,2022-08-19,33.0,C,0.445576,0.45,0.75,45.0,0.258054
101218.0,2022-07-18,2022-08-19,31.0,C,0.446363,0.8,1.05,22.0,0.371335
101218.0,2022-07-18,2022-08-19,29.0,P,0.47236,1.25,1.6,229.0,-0.431825
101218.0,2022-07-19,2022-08-19,30.0,C,0.436795,1.35,1.45,26.0,0.500141
101218.0,2022-07-20,2022-08-19,30.0,C,0.43991,1.05,1.35,24.0,0.458593
101218.0,2022-07-20,2022-08-19,33.0,C,0.438803,0.25,0.5,11.0,0.194417
101218.0,2022-07-20,2022-08-19,33.0,P,0.416966,3.7,4.2,10.0,-0.821092
101218.0,2022-07-26,2022-09-16,29.0,P,0.415724,1.4,1.8,15.0,-0.429315
101218.0,2022-07-27,2022-09-16,29.0,C,0.393143,1.0,1.35,29.0,0.425901
101218.0,2022-07-27,2022-09-16,33.0,C,0.379432,0.15,0.35,23.0,0.133576
101218.0,2022-07-28,2022-09-16,29.0,C,0.394917,0.55,0.85,10.0,0.304768
101218.0,2022-07-29,2022-09-16,27.0,C,0.389595,0.8,1.05,150.0,0.389252
101218.0,2022-07-29,2022-09-16,25.0,P,0.422754,1.2,1.3,20.0,-0.403107
101218.0,2022-08-01,2022-09-16,23.0,P,0.435099,0.5,0.75,63.0,-0.249456
101218.0,2022-08-01,2022-09-16,24.0,P,0.419739,0.8,1.05,12.0,-0.341239
101218.0,2022-08-02,2022-09-16,27.0,C,0.396377,0.7,1.1,101.0,0.387833
101218.0,2022-08-05,2022-09-16,27.0,C,0.386734,0.75,1.0,76.0,0.393674
101218.0,2022-08-05,2022-09-16,23.0,P,0.449229,0.4,0.55,12.0,-0.201146
101218.0,2022-08-05,2022-09-16,24.0,P,0.434772,0.6,0.85,16.0,-0.283891
101218.0,2022-08-08,2022-09-16,27.0,C,0.398384,0.65,1.0,38.0,0.379553
101218.0,2022-08-10,2022-09-16,27.0,C,0.403539,0.65,0.95,10.0,0.375831
101218.0,2022-08-10,2022-09-16,24.0,P,0.414134,0.45,0.8,13.0,-0.279099
101218.0,2022-08-10,2022-09-16,25.0,P,0.395727,0.75,1.15,33.0,-0.389037
101218.0,2022-08-11,2022-09-16,24.0,P,0.445952,0.65,0.85,150.0,-0.305564
101218.0,2022-08-15,2022-09-16,27.0,C,0.419325,0.95,1.2,36.0,0.460865
101218.0,2022-08-15,2022-09-16,28.0,C,0.404647,0.55,0.8,12.0,0.340256
101218.0,2022-08-16,2022-09-16,29.0,C,0.369767,0.25,0.4,12.0,0.211527
101218.0,2022-08-17,2022-09-16,27.0,C,0.443207,0.5,0.7,12.0,0.311989
101218.0,2022-08-24,2022-10-21,27.0,C,0.320539,0.2,1.05,10.0,0.319191
101218.0,2022-08-31,2022-10-21,26.0,C,0.40138,0.5,0.75,905.0,0.29965
101218.0,2022-09-08,2022-10-21,25.0,C,0.398937,0.75,1.1,10.0,0.417274
101218.0,2022-09-16,2022-10-21,23.0,C,0.38324,1.1,1.55,214.0,0.585669
101218.0,2022-09-16,2022-10-21,24.0,P,0.381435,1.1,1.75,40.0,-0.56003
101218.0,2022-09-19,2022-10-21,24.0,C,0.371623,0.5,0.65,12.0,0.356884
101218.0,2022-09-19,2022-10-21,25.0,C,0.385825,0.3,0.4,423.0,0.240059
101218.0,2022-09-19,2022-10-21,26.0,C,0.376978,0.1,0.25,63.0,0.14085
101218.0,2022-09-20,2022-10-21,22.0,C,0.286677,1.15,2.0,40.0,0.767053
101218.0,2022-09-20,2022-10-21,23.0,P,0.369564,0.8,0.9,16.0,-0.431559
101218.0,2022-09-20,2022-11-18,24.0,C,0.401724,1.15,1.3,200.0,0.466758
101218.0,2022-09-20,2022-11-18,27.0,P,0.281676,3.3,4.3,20.0,-0.910322
101218.0,2022-09-23,2022-11-18,28.0,C,0.412875,0.05,0.25,25.0,0.094668
101218.0,2022-09-26,2022-11-18,24.0,C,0.44674,0.65,0.9,50.0,0.340128
101218.0,2022-09-26,2022-11-18,28.0,C,0.425369,0.0,0.25,25.0,0.082019
101218.0,2022-09-28,2022-11-18,23.0,C,0.49422,1.45,1.9,197.0,0.533816
101218.0,2022-09-28,2022-11-18,25.0,C,0.492184,0.65,1.2,222.0,0.356536
101218.0,2022-09-28,2022-11-18,21.0,P,0.489213,0.55,1.05,5000.0,-0.279695
101218.0,2022-09-28,2022-11-18,23.0,P,0.465238,1.3,1.9,76.0,-0.467872
101218.0,2022-09-28,2022-11-18,24.0,P,0.462467,1.95,2.4,104.0,-0.566356
101218.0,2022-10-13,2022-11-18,26.0,C,0.437524,0.2,0.4,30.0,0.186853
101218.0,2022-10-14,2022-11-18,27.0,C,0.479211,0.1,0.3,31.0,0.127281
101218.0,2022-10-20,2022-12-16,23.0,C,0.388873,0.25,1.7,998.0,0.428247
101218.0,2022-10-24,2022-12-16,25.0,C,0.490608,0.45,1.05,60.0,0.309093
101218.0,2022-10-31,2022-12-16,23.0,C,0.472458,1.3,1.55,186.0,0.512367
101218.0,2022-11-01,2022-12-16,25.0,C,0.480064,0.55,1.3,10.0,0.373995
101218.0,2022-11-03,2022-12-16,25.0,C,0.416401,0.9,1.15,33.0,0.434818
101218.0,2022-11-10,2022-12-16,24.0,C,0.357212,1.2,1.3,43.0,0.56964
101218.0,2022-11-10,2022-12-16,25.0,C,0.349512,0.75,0.8,60.0,0.42303
101218.0,2022-11-16,2022-12-16,25.0,C,0.453511,0.2,0.5,1033.0,0.222409
101218.0,2022-11-21,2023-01-20,28.0,C,0.386011,0.25,0.4,46.0,0.1745
101218.0,2022-11-22,2023-01-20,28.0,C,0.437645,0.25,1.0,30.0,0.261229
101218.0,2022-11-28,2023-01-20,24.0,C,0.311402,1.1,1.25,15.0,0.535368
101218.0,2022-11-30,2023-01-20,25.0,C,0.407728,1.25,1.65,25.0,0.51758
101218.0,2022-11-30,2023-01-20,26.0,C,0.40211,0.85,1.2,579.0,0.41377
101218.0,2022-12-02,2023-01-20,26.0,P,0.434213,1.2,2.55,43.0,-0.501141
101218.0,2022-12-06,2023-01-20,26.0,C,0.484712,0.95,1.6,4016.0,0.441772
101218.0,2022-12-08,2023-01-20,24.0,C,0.402133,2.0,2.6,35.0,0.70415
101218.0,2022-12-16,2023-01-20,28.0,C,0.447172,0.35,0.75,21.0,0.271844
101218.0,2022-12-16,2023-01-20,29.0,C,0.498655,0.35,0.6,31.0,0.224603
101218.0,2022-12-19,2023-01-20,25.0,C,0.38112,1.2,1.4,54.0,0.568421
101218.0,2022-12-19,2023-01-20,26.0,C,0.347911,0.65,0.85,62.0,0.419944
101218.0,2022-12-19,2023-01-20,27.0,C,0.419305,0.4,0.85,18.0,0.325573
101218.0,2022-12-19,2023-01-20,24.0,P,0.44015,0.5,0.95,26.0,-0.317668
101218.0,2022-12-19,2023-01-20,25.0,P,0.397522,0.85,1.2,94.0,-0.435318
101218.0,2022-12-19,2023-02-17,25.0,C,0.451898,1.75,2.3,11.0,0.569016
101218.0,2022-12-19,2023-02-17,23.0,P,0.460764,0.7,1.0,276.0,-0.268379
101218.0,2022-12-19,2023-02-17,25.0,P,0.426959,1.35,1.75,15.0,-0.433605
101218.0,2022-12-20,2023-02-17,26.0,C,0.478962,1.75,2.1,31.0,0.529949
101218.0,2022-12-21,2023-01-20,25.0,C,0.409632,1.7,1.85,129.0,0.655648
101218.0,2022-12-21,2023-01-20,26.0,C,0.37408,1.0,1.25,15.0,0.525255
101218.0,2022-12-21,2023-01-20,23.0,P,0.486833,0.2,0.5,11.0,-0.169465
101218.0,2022-12-21,2023-02-17,28.0,C,0.44443,0.95,1.15,142.0,0.365698
101218.0,2022-12-23,2023-02-17,25.0,C,0.493451,2.05,2.4,33.0,0.581533
101218.0,2022-12-23,2023-02-17,25.0,P,0.461864,1.4,1.7,64.0,-0.415851
101218.0,2022-12-28,2023-02-17,28.0,C,0.438093,0.6,0.85,153.0,0.300107
101218.0,2022-12-30,2023-02-17,26.0,C,0.489464,1.75,2.2,33.0,0.554708
101218.0,2022-12-30,2023-02-17,28.0,C,0.455412,0.85,1.25,25.0,0.378986
101218.0,2023-01-03,2023-02-17,27.0,C,0.460781,1.1,1.4,502.0,0.439854
101218.0,2023-01-03,2023-02-17,26.0,C,0.47604,1.6,1.85,22.0,0.533646
101218.0,2023-01-03,2023-02-17,24.0,P,0.483978,0.65,1.1,502.0,-0.29053
101218.0,2023-01-04,2023-02-17,26.0,C,0.472597,1.3,1.5,52.0,0.47722
101218.0,2023-01-05,2023-02-17,26.0,C,0.447218,1.15,1.45,10.0,0.473431
101218.0,2023-01-06,2023-02-17,26.0,C,0.492675,2.25,2.65,32.0,0.641491
101218.0,2023-01-06,2023-02-17,27.0,C,0.466509,1.6,2.05,21.0,0.553813
101218.0,2023-01-09,2023-02-17,26.0,C,0.499913,1.6,2.05,10.0,0.556408
101218.0,2023-01-10,2023-02-17,26.0,C,0.462787,2.1,2.4,12.0,0.6475
101218.0,2023-01-12,2023-02-17,28.0,C,0.466669,1.2,1.6,30.0,0.482966
101218.0,2023-01-13,2023-02-17,27.0,P,0.436187,1.05,1.5,10.0,-0.432305
101218.0,2023-01-17,2023-02-17,26.0,C,0.478015,3.0,3.3,16.0,0.773926
101218.0,2023-01-18,2023-02-17,27.0,P,0.431668,0.95,1.1,30.0,-0.393973
101218.0,2023-01-18,2023-02-17,28.0,P,0.431566,1.35,1.7,11.0,-0.510246
101218.0,2023-01-20,2023-03-17,25.0,P,0.44881,0.55,0.95,40.0,-0.239805
101218.0,2023-01-20,2023-03-17,34.0,C,0.458327,0.2,0.55,46.0,0.155952
101218.0,2023-01-23,2023-03-17,27.0,P,0.404334,1.3,1.6,10.0,-0.428073
101218.0,2023-01-24,2023-03-17,28.0,P,0.410662,1.45,1.95,12.0,-0.464772
101218.0,2023-01-24,2023-03-17,27.0,P,0.424119,1.05,1.5,125.0,-0.375019
101218.0,2023-01-27,2023-03-17,30.0,C,0.363351,1.05,1.3,319.0,0.440337
101218.0,2023-01-31,2023-03-17,30.0,C,0.395261,0.9,1.25,35.0,0.407046
101218.0,2023-02-02,2023-03-17,28.0,C,0.386753,1.15,1.55,10.0,0.500214
101218.0,2023-02-06,2023-03-17,28.0,C,0.407718,0.9,1.3,10.0,0.440885
101218.0,2023-02-10,2023-03-17,28.0,C,0.416565,0.85,1.25,32.0,0.43619
101218.0,2023-02-14,2023-03-17,24.0,P,0.49321,0.25,0.35,50.0,-0.139176
101218.0,2023-02-14,2023-03-17,27.0,C,0.444652,1.7,1.95,30.0,0.610644
101218.0,2023-02-21,2023-04-21,26.0,P,0.395859,0.8,1.05,60.0,-0.302398
101218.0,2023-02-27,2023-04-21,28.0,C,0.37487,0.9,1.3,50.0,0.422656
101218.0,2023-03-01,2023-04-21,29.0,C,0.381543,0.6,1.35,100.0,0.385455
101218.0,2023-03-02,2023-04-21,26.0,C,0.339118,2.0,2.2,25.0,0.678482
101218.0,2023-03-02,2023-04-21,25.0,P,0.361354,0.4,0.65,25.0,-0.232388
101218.0,2023-03-08,2023-04-21,28.0,P,0.285417,1.4,2.0,48.0,-0.637821
101218.0,2023-03-10,2023-04-21,26.0,P,0.377025,0.4,1.85,11.0,-0.418408
101218.0,2023-03-13,2023-04-21,30.0,C,0.386049,0.0,0.7,40.0,0.198435
101218.0,2023-03-16,2023-04-21,28.0,C,0.296868,0.15,0.9,48.0,0.335358
101218.0,2023-03-20,2023-05-19,24.0,C,0.405963,2.95,3.8,10.0,0.770098
101218.0,2023-03-20,2023-05-19,29.0,C,0.376045,0.45,1.15,64.0,0.325925
101218.0,2023-03-20,2023-05-19,30.0,C,0.342001,0.35,0.55,12.0,0.225279
101218.0,2023-03-20,2023-05-19,26.0,P,0.364652,1.05,1.35,10.0,-0.395869
101218.0,2023-03-22,2023-04-21,26.0,P,0.305528,0.65,1.25,10.0,-0.501219
101218.0,2023-03-23,2023-05-19,25.0,C,0.474774,1.85,2.55,26.0,0.58504
101218.0,2023-03-29,2023-05-19,31.0,C,0.308356,0.25,0.45,15.0,0.204312
101218.0,2023-03-31,2023-05-19,29.0,C,0.33673,0.95,1.2,20.0,0.443327
101218.0,2023-04-03,2023-05-19,31.0,C,0.318689,0.45,0.6,35.0,0.277545
101218.0,2023-04-03,2023-05-19,25.0,P,0.42467,0.2,0.55,20.0,-0.155292
101218.0,2023-04-03,2023-05-19,29.0,C,0.329494,1.15,1.35,15.0,0.501031
101218.0,2023-04-04,2023-05-19,25.0,C,0.416846,4.3,4.5,80.0,0.864788
101218.0,2023-04-04,2023-05-19,31.0,C,0.33227,0.55,0.75,10.0,0.314666
101218.0,2023-04-12,2023-05-19,30.0,C,0.340628,0.8,0.95,10.0,0.410748
101218.0,2023-04-13,2023-05-19,25.0,C,0.436887,5.0,5.3,41.0,0.919334
101218.0,2023-04-13,2023-05-19,29.0,C,0.355908,1.75,2.0,29.0,0.641717
101218.0,2023-04-13,2023-05-19,30.0,C,0.338993,1.15,1.4,11.0,0.522902
101218.0,2023-04-13,2023-05-19,33.0,C,0.313429,0.2,0.35,10.0,0.180304
101218.0,2023-04-18,2023-05-19,27.0,P,0.392479,0.3,0.6,100.0,-0.221272
101218.0,2023-04-21,2023-06-16,30.0,C,0.341749,1.1,1.35,659.0,0.448451
101218.0,2023-04-24,2023-06-16,29.0,P,0.321332,1.15,1.35,19.0,-0.440184
101218.0,2023-04-25,2023-06-16,30.0,C,0.346195,1.85,2.05,50.0,0.596711
101218.0,2023-04-25,2023-06-16,31.0,C,0.328129,1.3,1.45,58.0,0.494689
101218.0,2023-04-25,2023-06-16,33.0,C,0.320219,0.55,0.75,36.0,0.296771
101218.0,2023-04-26,2023-06-16,29.0,P,0.311798,1.45,1.7,25.0,-0.537356
101218.0,2023-05-08,2023-06-16,32.0,C,0.268195,0.6,0.75,10.0,0.376671
101218.0,2023-05-09,2023-06-16,31.0,C,0.293044,0.9,1.5,12.0,0.528389
101218.0,2023-05-16,2023-06-16,34.0,P,0.224304,2.8,3.2,18.0,-0.940485
101218.0,2023-05-22,2023-07-21,33.0,C,0.26977,0.4,0.5,37.0,0.242779
101218.0,2023-05-23,2023-07-21,31.0,C,0.285663,0.85,1.05,10.0,0.410995
101218.0,2023-05-24,2023-07-21,30.0,C,0.303702,1.15,1.3,10.0,0.476942
101218.0,2023-06-01,2023-07-21,30.0,C,0.294351,0.95,1.1,11.0,0.452807
101218.0,2023-06-02,2023-07-21,28.0,C,0.36663,2.25,2.8,100.0,0.693483
101218.0,2023-06-02,2023-07-21,30.0,C,0.29271,1.05,1.2,19.0,0.484055
101218.0,2023-06-05,2023-07-21,29.0,P,0.298476,0.85,1.05,17.0,-0.40366
101218.0,2023-06-05,2023-07-21,32.0,C,0.277085,0.25,0.5,45.0,0.232698
101218.0,2023-06-05,2023-07-21,29.0,C,0.311015,1.55,1.7,14.0,0.59957
101218.0,2023-06-07,2023-07-21,31.0,C,0.312726,1.25,1.45,35.0,0.522614
101218.0,2023-06-07,2023-07-21,32.0,C,0.300025,0.75,1.0,38.0,0.401547
101218.0,2023-06-07,2023-07-21,30.0,C,0.327813,1.85,2.05,21.0,0.635549
101218.0,2023-06-07,2023-07-21,28.0,C,0.396512,3.3,3.8,103.0,0.790501
101218.0,2023-06-08,2023-07-21,31.0,P,0.314594,0.75,1.3,42.0,-0.400001
101218.0,2023-06-08,2023-07-21,32.0,C,0.470043,0.7,3.1,59.0,0.51034
101218.0,2023-06-08,2023-07-21,31.0,C,0.313384,1.6,1.85,59.0,0.605164
101218.0,2023-06-13,2023-07-21,32.0,C,0.305532,0.95,1.15,10.0,0.466718
101218.0,2023-06-14,2023-07-21,31.0,P,0.298087,0.75,0.9,14.0,-0.374842
101218.0,2023-06-16,2023-07-21,32.0,C,0.284085,1.2,1.4,120.0,0.56497
101218.0,2023-06-20,2023-08-18,37.0,C,0.343561,0.3,0.65,30.0,0.202032
101218.0,2023-06-20,2023-08-18,32.0,C,0.345901,1.95,2.3,30.0,0.585176
101218.0,2023-06-20,2023-07-21,32.0,C,0.301325,1.25,1.45,101.0,0.575505
101218.0,2023-06-21,2023-08-18,34.0,P,0.313484,1.8,2.45,20.0,-0.563481
101218.0,2023-06-21,2023-07-21,32.0,P,0.302251,0.4,0.95,16.0,-0.340702
101218.0,2023-06-21,2023-08-18,32.0,C,0.335101,2.0,2.75,15.0,0.63286
101218.0,2023-06-21,2023-07-21,36.0,C,0.425551,0.0,1.2,335.0,0.262031
101218.0,2023-06-21,2023-07-21,35.0,C,0.269386,0.2,0.5,201.0,0.242108
101218.0,2023-06-21,2023-07-21,32.0,C,0.294779,1.6,1.8,18.0,0.665503
101218.0,2023-06-22,2023-08-18,32.0,C,0.368078,2.85,3.0,15.0,0.67237
101218.0,2023-06-22,2023-08-18,35.0,C,0.330655,1.2,1.3,30.0,0.420069
101218.0,2023-06-27,2023-08-18,35.0,C,0.330516,0.8,1.1,20.0,0.361972
101218.0,2023-06-28,2023-08-18,33.0,C,0.35422,1.55,1.75,15.0,0.511587
101218.0,2023-06-29,2023-08-18,33.0,C,0.333571,0.85,1.05,14.0,0.378167
101218.0,2023-06-29,2023-08-18,32.0,C,0.327884,1.2,1.4,52.0,0.474287
101218.0,2023-06-30,2023-08-18,33.0,C,0.307219,0.7,0.85,13.0,0.347729
101218.0,2023-07-03,2023-08-18,33.0,C,0.343053,0.55,0.75,20.0,0.295342
101218.0,2023-07-07,2023-08-18,31.0,C,0.356667,0.9,1.15,18.0,0.417726
101218.0,2023-07-12,2023-08-18,31.0,C,0.351418,0.85,1.05,14.0,0.416195
101218.0,2023-07-13,2023-08-18,31.0,C,0.374175,0.8,1.1,17.0,0.402961
101218.0,2023-07-14,2023-08-18,31.0,C,0.349382,1.05,1.2,15.0,0.471693
101218.0,2023-07-17,2023-08-18,33.0,C,0.352537,0.4,0.55,10.0,0.259565
101218.0,2023-07-17,2023-08-18,31.0,C,0.379425,1.15,1.3,17.0,0.485858
101218.0,2023-07-18,2023-08-18,33.0,C,0.353259,0.65,0.8,14.0,0.350902
101218.0,2023-07-18,2023-08-18,32.0,C,0.36221,1.05,1.2,30.0,0.468167
101218.0,2023-07-18,2023-08-18,31.0,C,0.380586,1.6,1.75,57.0,0.585003
101218.0,2023-07-19,2023-08-18,31.0,C,0.421924,1.85,2.1,21.0,0.612545
101218.0,2023-07-19,2023-08-18,32.0,C,0.411214,1.3,1.55,35.0,0.508422
101218.0,2023-07-19,2023-08-18,33.0,C,0.385172,0.8,1.05,36.0,0.396027
101218.0,2023-07-20,2023-09-15,33.0,C,0.355208,1.1,1.8,905.0,0.460175
101218.0,2023-07-21,2023-09-15,32.0,C,0.435852,1.75,2.7,41.0,0.542025
101218.0,2023-07-21,2023-09-15,33.0,P,0.363458,2.15,2.5,45.0,-0.553941
101218.0,2023-07-21,2023-09-15,32.0,P,0.371237,1.6,2.0,187.0,-0.465515
101218.0,2023-07-21,2023-09-15,33.0,C,0.362384,1.3,1.55,120.0,0.451956
101218.0,2023-07-24,2023-09-15,33.0,P,0.366828,2.25,2.5,55.0,-0.568599
101218.0,2023-07-24,2023-09-15,30.0,C,0.404199,2.85,3.2,21.0,0.686773
101218.0,2023-07-24,2023-09-15,31.0,C,0.395841,2.25,2.55,30.0,0.609168
101218.0,2023-07-25,2023-09-15,32.0,C,0.393765,1.25,1.6,13.0,0.449783
101218.0,2023-07-26,2023-09-15,29.0,P,0.374322,1.0,1.2,11.0,-0.358311
101218.0,2023-07-26,2023-09-15,30.0,C,0.373987,1.7,1.9,37.0,0.552394
101218.0,2023-07-27,2023-09-15,30.0,P,0.353597,1.2,1.5,159.0,-0.430874
